QID,Version,QuestionIndex,Tags,ShortReason,Severity,Content
"01K2G2QNY5J3MGFR8GK33HMW8G",1,1,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown' | Option A: alphabet 'semicircle' ≠ 'shape' | Option B: alphabet 'semicircle' ≠ 'shape' | Option C: alphabet 'semicircle' ≠ 'shape' | Option D: alphabet 'semicircle' ≠ 'shape'","medium","Complétez la séquence de rotations ci-dessous...."
"01K2G2QP2W97KTF3AQBAVHFN5Q",1,3,"multiple_solutions","Réponse correcte incohérente (attendue: -1, déclarée: 0)","high","Quel motif complète la série: ●○●○?..."
"01K2G2QP3SWZBECZW1HGZKF4CC",1,5,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown' | Option C: alphabet 'dot' ≠ 'shape'","medium","Trouvez le motif manquant dans cette grille 2x2..."
"01K2G2QP4BJDK4RH7T7S23B6W1",1,8,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Quel symbole manque: ★☆★☆?..."
"01K2G2QP4H1Q0GMFS48TRH84YK",1,10,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Complétez la série suivante...."
"01K2G2QP4TNGE626JTRGGWN29T",1,12,"alphabet_mismatch","Option A: alphabet 'arrow' ≠ 'letter' | Option B: alphabet 'arrow' ≠ 'letter' | Option C: alphabet 'arrow' ≠ 'letter' | Option D: alphabet 'arrow' ≠ 'letter'","medium","Dernier élément de la série A: rotation simple..."
"01K2G2QP58R4J1GSRB5A5W78DZ",1,17,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown' | Option A: alphabet 'semicircle' ≠ 'shape' | Option B: alphabet 'semicircle' ≠ 'shape' | Option C: alphabet 'semicircle' ≠ 'shape' | Option D: alphabet 'semicircle' ≠ 'shape'","medium","Motif complexe avec superposition de formes..."
"01K2G2QP5DPDY08Y6RMFA96ZF6",1,19,"alphabet_mismatch","Option C: alphabet 'dot' ≠ 'shape'","medium","Analogie visuelle: △ est à ▽ comme □ est à ?..."
"01K2G2QP5N9ETRSEZY8PYY23XX",1,21,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown' | Option A: alphabet 'number' ≠ 'shape' | Option B: alphabet 'number' ≠ 'shape' | Option C: alphabet 'number' ≠ 'shape' | Option D: alphabet 'number' ≠ 'shape'","medium","Matrice 3x3 avec progression de remplissage..."
"01K2G2QP5XBCHXR1FNGAFCET8S",1,23,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Rotation et réflexion combinées..."
"01K2G2QP63XJEZG5ZQ9P5P6TBQ",1,25,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Matrice complexe avec multiple transformations..."
"01K2G2QP6CWP5R9CY8HDR57K94",1,28,"alphabet_mismatch","Option B: alphabet 'shape' ≠ 'number'","medium","Superposition de 3 motifs géométriques..."
"01K2G2QP6J5AXQ307Z5WAWGW9Q",1,30,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Transformation spatiale en 3D mentale..."
"01K2G2QP6P4ADSKHETH2H6B43Q",1,31,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown' | Option A: alphabet 'number' ≠ 'shape' | Option B: alphabet 'number' ≠ 'shape' | Option C: alphabet 'number' ≠ 'shape' | Option D: alphabet 'number' ≠ 'shape'","medium","Progression: x, x², x³, x⁴, ? (avec x?)..."
"01K2G2QP6S6NRWA3EJMPT3K1TB",1,32,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Matrice avec règles multiples appliquées..."
